					郑州商品交易所期货历史行情下载(2015)
交易日期  |品种代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1     |涨跌2     |成交量(手)|空盘量    |增减量    |成交额(万元)|交割结算价|
2015-01-05|CF501   |13,185.00 |12,585.00 |13,645.00 |12,585.00 |12,925.00 |12,905.00 |-260.00   |-280.00   |3,198     |25,648    |-1,886    |20,636.72   |12,895.00 |
2015-01-05|CF503   |13,110.00 |13,215.00 |13,215.00 |12,830.00 |12,920.00 |13,020.00 |-190.00   |-90.00    |94        |1,094     |16        |611.83      |0.00      |
2015-01-05|CF505   |13,310.00 |13,040.00 |13,080.00 |12,890.00 |13,030.00 |13,010.00 |-280.00   |-300.00   |247,762   |473,520   |-38,470   |1,611,413.81|0.00      |
2015-01-05|CF507   |13,330.00 |13,205.00 |13,205.00 |13,040.00 |13,130.00 |13,155.00 |-200.00   |-175.00   |56        |1,392     |-38       |368.29      |0.00      |
2015-01-05|CF509   |13,640.00 |13,370.00 |13,430.00 |13,230.00 |13,375.00 |13,350.00 |-265.00   |-290.00   |21,034    |77,714    |-1,746    |140,410.14  |0.00      |
2015-01-05|CF511   |13,795.00 |13,550.00 |13,580.00 |13,465.00 |13,560.00 |13,535.00 |-235.00   |-260.00   |114       |574       |4         |771.59      |0.00      |
2015-01-05|FG501   |1,119.00  |1,070.00  |1,120.00  |1,063.00  |1,098.00  |1,085.00  |-21.00    |-34.00    |42        |1,744     |-34       |91.18       |1,091.00  |
2015-01-05|FG502   |1,069.00  |0.00      |0.00      |0.00      |0.00      |1,037.00  |-1,069.00 |-32.00    |0         |2         |0         |0.00        |0.00      |
2015-01-05|FG503   |1,092.00  |0.00      |0.00      |0.00      |0.00      |1,059.00  |-1,092.00 |-33.00    |0         |2         |0         |0.00        |0.00      |
2015-01-05|FG504   |1,048.00  |1,069.00  |1,086.00  |1,069.00  |1,086.00  |1,078.00  |38.00     |30.00     |4         |4         |-2        |8.62        |0.00      |
2015-01-05|FG505   |1,068.00  |1,056.00  |1,071.00  |1,055.00  |1,063.00  |1,064.00  |-5.00     |-4.00     |14,404    |51,108    |1,536     |30,650.11   |0.00      |
2015-01-05|FG506   |956.00    |944.00    |964.00    |941.00    |955.00    |955.00    |-1.00     |-1.00     |748,696   |528,296   |34,628    |1,429,676.86|0.00      |
2015-01-05|FG507   |938.00    |935.00    |945.00    |928.00    |938.00    |938.00    |0.00      |0.00      |274       |1,176     |12        |513.86      |0.00      |
2015-01-05|FG508   |940.00    |941.00    |943.00    |930.00    |940.00    |941.00    |0.00      |1.00      |112       |190       |-64       |210.70      |0.00      |
2015-01-05|FG509   |947.00    |934.00    |952.00    |931.00    |941.00    |943.00    |-6.00     |-4.00     |52,204    |125,192   |6,992     |98,467.70   |0.00      |
2015-01-05|FG510   |939.00    |941.00    |946.00    |932.00    |946.00    |943.00    |7.00      |4.00      |14        |30        |-2        |26.39       |0.00      |
2015-01-05|FG511   |952.00    |0.00      |0.00      |0.00      |0.00      |950.00    |-952.00   |-2.00     |0         |16        |0         |0.00        |0.00      |
2015-01-05|FG512   |949.00    |946.00    |946.00    |940.00    |940.00    |943.00    |-9.00     |-6.00     |4         |10        |2         |7.54        |0.00      |
2015-01-05|JR501   |3,004.00  |0.00      |0.00      |0.00      |0.00      |3,004.00  |-3,004.00 |0.00      |0         |0         |0         |0.00        |3,004.00  |
2015-01-05|JR503   |3,190.00  |0.00      |0.00      |0.00      |0.00      |3,190.00  |-3,190.00 |0.00      |0         |0         |0         |0.00        |0.00      |
2015-01-05|JR505   |3,074.00  |0.00      |0.00      |0.00      |0.00      |3,074.00  |-3,074.00 |0.00      |0         |0         |0         |0.00        |0.00      |
2015-01-05|JR507   |3,139.00  |0.00      |0.00      |0.00      |0.00      |3,139.00  |-3,139.00 |0.00      |0         |0         |0         |0.00        |0.00      |
2015-01-05|JR509   |3,115.00  |0.00      |0.00      |0.00      |0.00      |3,115.00  |-3,115.00 |0.00      |0         |0         |0         |0.00        |0.00      |
2015-01-05|JR511   |3,115.00  |0.00      |0.00      |0.00      |0.00      |3,115.00  |-3,115.00 |0.00      |0         |0         |0         |0.00        |0.00      |
2015-01-05|LR501   |2,890.00  |0.00      |0.00      |0.00      |0.00      |2,890.00  |-2,890.00 |0.00      |0         |1,122     |0         |0.00        |2,878.00  |
2015-01-05|LR503   |2,891.00  |0.00      |0.00      |0.00      |0.00      |2,891.00  |-2,891.00 |0.00      |0         |0         |0         |0.00        |0.00      |
2015-01-05|LR505   |2,888.00  |0.00      |0.00      |0.00      |0.00      |2,887.00  |-2,888.00 |-1.00     |0         |478       |0         |0.00        |0.00      |
2015-01-05|LR507   |2,769.00  |0.00      |0.00      |0.00      |0.00      |2,769.00  |-2,769.00 |0.00      |0         |0         |0         |0.00        |0.00      |
2015-01-05|LR509   |2,888.00  |0.00      |0.00      |0.00      |0.00      |2,888.00  |-2,888.00 |0.00      |0         |0         |0         |0.00        |0.00      |
2015-01-05|LR511   |2,821.00  |0.00      |0.00      |0.00      |0.00      |2,821.00  |-2,821.00 |0.00      |0         |0         |0         |0.00        |0.00      |
2015-01-05|MA506   |2,057.00  |2,030.00  |2,057.00  |2,001.00  |2,008.00  |2,022.00  |-49.00    |-35.00    |848,336   |323,164   |17,650    |1,715,516.42|0.00      |
2015-01-05|MA507   |2,082.00  |2,165.00  |2,165.00  |2,042.00  |2,044.00  |2,089.00  |-38.00    |7.00      |224       |126       |70        |467.91      |0.00      |
2015-01-05|MA508   |2,096.00  |2,095.00  |2,201.00  |2,070.00  |2,076.00  |2,151.00  |-20.00    |55.00     |2,034     |128       |116       |4,374.33    |0.00      |
2015-01-05|MA509   |2,128.00  |2,109.00  |2,133.00  |2,076.00  |2,083.00  |2,097.00  |-45.00    |-31.00    |50,714    |78,688    |1,014     |106,334.36  |0.00      |
2015-01-05|MA510   |2,129.00  |0.00      |0.00      |0.00      |0.00      |2,083.00  |-2,129.00 |-46.00    |0         |22        |0         |0.00        |0.00      |
2015-01-05|MA511   |2,124.00  |2,039.00  |2,139.00  |2,039.00  |2,080.00  |2,096.00  |-44.00    |-28.00    |182       |3,814     |-46       |381.47      |0.00      |
2015-01-05|MA512   |2,170.00  |2,219.00  |2,219.00  |2,117.00  |2,117.00  |2,157.00  |-53.00    |-13.00    |24        |18        |-6        |51.77       |0.00      |
2015-01-05|ME501   |1,814.00  |1,806.00  |1,806.00  |1,723.00  |1,780.00  |1,777.00  |-34.00    |-37.00    |778       |3,868     |-734      |6,912.52    |1,859.00  |
2015-01-05|ME502   |1,888.00  |1,810.00  |1,870.00  |1,794.00  |1,843.00  |1,817.00  |-45.00    |-71.00    |48        |40        |-4        |436.13      |0.00      |
2015-01-05|ME503   |1,918.00  |1,830.00  |1,916.00  |1,830.00  |1,916.00  |1,873.00  |-2.00     |-45.00    |4         |8         |0         |37.46       |0.00      |
2015-01-05|ME504   |2,006.00  |1,964.00  |1,964.00  |1,964.00  |1,964.00  |1,964.00  |-42.00    |-42.00    |2         |6         |2         |19.64       |0.00      |
2015-01-05|ME505   |2,005.00  |1,984.00  |1,996.00  |1,945.00  |1,953.00  |1,967.00  |-52.00    |-38.00    |19,804    |24,384    |1,096     |194,807.17  |0.00      |
2015-01-05|OI501   |5,882.00  |5,710.00  |5,830.00  |5,710.00  |5,780.00  |5,804.00  |-102.00   |-78.00    |368       |4,440     |-88       |2,135.65    |5,778.00  |
2015-01-05|OI503   |5,938.00  |0.00      |0.00      |0.00      |0.00      |5,938.00  |-5,938.00 |0.00      |0         |8         |0         |0.00        |0.00      |
2015-01-05|OI505   |6,082.00  |6,002.00  |6,036.00  |5,950.00  |6,008.00  |6,002.00  |-74.00    |-80.00    |42,986    |126,550   |-58       |258,001.31  |0.00      |
2015-01-05|OI507   |6,046.00  |0.00      |0.00      |0.00      |0.00      |6,046.00  |-6,046.00 |0.00      |0         |0         |0         |0.00        |0.00      |
2015-01-05|OI509   |6,148.00  |6,050.00  |6,104.00  |6,032.00  |6,080.00  |6,070.00  |-68.00    |-78.00    |3,770     |24,570    |46        |22,884.22   |0.00      |
2015-01-05|OI511   |6,150.00  |0.00      |0.00      |0.00      |0.00      |6,150.00  |-6,150.00 |0.00      |0         |4         |0         |0.00        |0.00      |
2015-01-05|PM501   |2,646.00  |0.00      |0.00      |0.00      |0.00      |2,646.00  |-2,646.00 |0.00      |0         |24        |0         |0.00        |2,611.00  |
2015-01-05|PM503   |2,520.00  |0.00      |0.00      |0.00      |0.00      |2,520.00  |-2,520.00 |0.00      |0         |0         |0         |0.00        |0.00      |
2015-01-05|PM505   |2,601.00  |0.00      |0.00      |0.00      |0.00      |2,601.00  |-2,601.00 |0.00      |0         |12        |0         |0.00        |0.00      |
