"name","code","fe","min_price_change","min_money_change","size","ratio"
"°×Òø","ag","shfe","","","",""
"ÂÁ","al","shfe","","","",""
"»Æ½ð","au","shfe","","","",""
"Á¤Çà","bu","shfe","","","",""
"Í­","cu","shfe","","","",""
"È¼ÁÏÓÍ","fu","shfe","","","",""
"ÈÈÔþ¾í°å","hc","shfe","","","",""
"Äø","ni","shfe","","","",""
"Ç¦","pb","shfe","","","",""
"ÂÝÎÆ¸Ö","rb","shfe","","","",""
"ÌìÈ»Ïð½º","ru","shfe","","","",""
"Îý","sn","shfe","","","",""
"Ïß²Ä","wr","shfe","","","",""
"Ð¿","zn","shfe","","","",""
"","GN","czce","","","",""
"Ó²Âó","WT","czce","","","",""
"ÔçôÌµ¾(old)","ER","czce","","","",""
"²Ë×ÑÓÍ","RO","czce","","","",""
"Ç¿½îÐ¡Âó","WS","czce","","","",""
"ÃÞ»¨","CF","czce","","","",""
"²£Á§","FG","czce","","","",""
"¾¬µ¾","JR","czce","","","",""
"ÍíôÌ","LR","czce","","","",""
"¼×´¼","MA","czce","","","",""
"¼×´¼(old)","ME","czce","","","",""
"²ËÓÍ","OI","czce","","","",""
"ÆÕÂó","PM","czce","","","",""
"ÔçôÌµ¾","RI","czce","","","",""
"²ËÆÉ","RM","czce","","","",""
"²Ë×Ñ","RS","czce","","","",""
"¹èÌú","SF","czce","","","",""
"¹èÃÌ","SM","czce","","","",""
"ÌÇ","SR","czce","","","",""
"PTA","TA","czce","","","",""
"¶¯Á¦Ãº ","TC","czce","","","",""
"Ç¿Âó","WH","czce","","","",""
"¶¹Ò»","a","dce","","","",""
"¶¹¶þ","b","dce","","","",""
"ÓñÃ×","c","dce","","","",""
"¶¹ÆÉ","m","dce","","","",""
"¶¹ÓÍ","y","dce","","","",""
"¾ÛÒÒÏ©","l","dce","","","",""
"×ØéµÓÍ","p","dce","","","",""
"¾ÛÂÈÒÒÏ©","v","dce","","","",""
"½¹Ì¿","j","dce","","","",""
"¼¦µ°","jd","dce","","","",""
"½¹Ãº","jm","dce","","","",""
"Ìú¿óÊ¯","i","dce","","","",""
"ÏËÎ¬°å","fb","dce","","","",""
"½ººÏ°å","bb","dce","","","",""
"¾Û±ûÏ©","pp","dce","","","",""
"ÓñÃ×µí·Û","cs","dce","","","",""
